ISIN Code,Ticker,Exchange,Long Name,Currency,Asset Class,link to fs
IE00B5BMR087,CSPX,XLON,iShares Core S&P 500 UCITS ETF USD (Acc),USD,Equities,https://www.ishares.com/uk/individual/en/products/253743/ishares-sp-500-b-ucits-etf-acc-fund?switchLocale=y&siteEntryPassthrough=true
IE00B4L5Y983,IWDA,XLON,iShares Core MSCI World UCITS ETF USD (Acc),USD,Equities,https://www.ishares.com/uk/individual/en/products/251882/ishares-msci-world-ucits-etf-acc-fund
IE00B3XXRP09,VUSA,XLON,Vanguard S&P 500 UCITS ETF USD Dis,USD,Equities,https://www.vanguardinvestor.co.uk/investments/vanguard-s-and-p-500-ucits-etf-usd-distributing/overview?query=IE00B3XXRP09
IE00B3RBWM25,VWRL,XLON,Vanguard FTSE All-World UCITS ETF USD Dis,USD,Equities,https://www.vanguardinvestor.co.uk/investments/vanguard-ftse-all-world-ucits-etf-usd-distributing/overview
IE00B3YCGJ38,SPXS,XLON,Invesco S&P 500 UCITS ETF Acc,USD,Equities,https://etf.invesco.com/gb/private/en/product/invesco-sp-500-ucits-etf-acc/trading-information?audienceType=private
IE00B3F81R35,IEAC,XLON,iShares Core € Corp Bond UCITS ETF EUR D,EUR,Bonds,https://www.ishares.com/uk/individual/en/products/251726/
IE00B579F325,SGLD,XLON,Invesco Physical Gold ETC,USD,Others,https://etf.invesco.com/gb/private/en/product/invesco-physical-gold-etc/trading-information?audienceType=private&_ga=2.53135840.956770675.1695291548-1533226516.1695291548
IE00B4ND3602,IGLN,XLON,iShares Physical Gold ETC,USD,Others,https://www.ishares.com/uk/individual/en/products/258441/
IE0031442068,IUSA,XLON,iShares Core S&P 500 UCITS ETF USD (Dist),USD,Equities,https://www.ishares.com/uk/individual/en/products/251900/
IE0005042456,ISF,XLON,iShares Core FTSE 100 UCITS ETF GBP Dist,GBP,Equities,https://www.ishares.com/uk/individual/en/products/251795/
IE00B53SZB19,CSNDX,XLON,iShares NASDAQ 100 UCITS ETF USD (Acc),USD,Equities,https://www.ishares.com/uk/individual/en/products/253741/?referrer=tickerSearch
IE00B14X4S71,IBTS,XLON,iShares $ Treasury Bd 1-3yr UCITS ETF USD Dist,USD,Bonds,https://www.ishares.com/uk/individual/en/products/251715/?referrer=tickerSearch
IE00B1FZS798,IBTM,XLON,iShares $ Treasury Bd 7-10y UCITS ETF USD Dist,USD,Bonds,https://www.ishares.com/uk/individual/en/products/251716/
LU0496786657,LSPU,XLON,Lyxor S&P 500 UCITS ETF - Dist (USD),USD,Equities,https://www.amundietf.lu/en/individual/products/equity/lyxor-sp-500-ucits-etf-dist-usd/lu0496786657
IE00B6R52259,ISAC,XLON,iShares MSCI ACWI UCITS ETF USD (Acc),USD,Equities,https://www.ishares.com/uk/individual/en/products/251850/
IE0032895942,LQDE,XLON,iShares $ Corp Bond UCITS ETF USD Dist,USD,Bonds,https://www.ishares.com/uk/individual/en/products/251832/
IE00B1YZSC51,IMEU,XLON,iShares Core MSCI Europe UCITS ETF EUR Dist,EUR,Equities,https://www.ishares.com/uk/individual/en/products/251860/
LU0490618542,D5BM,XLON,Xtrackers S&P 500 Swap UCITS ETF 1C,USD,Equities,https://etf.dws.com/en-gb/LU0490618542-s-p-500-swap-ucits-etf-1c/
IE0032077012,EQQQ,XLON,Invesco EQQQ NASDAQ-100 UCITS ETF Dist,USD,Equities,https://etf.invesco.com/gb/private/en/product/invesco-eqqq-nasdaq-100-ucits-etf-dist/trading-information?audienceType=private&_ga=2.53135840.956770675.1695291548-1533226516.1695291548
IE00B2NPKV68,SEMB,XLON,iShares JP Morgan $ EM Bond UCITS ETF USD Dis,USD,Bonds,https://www.ishares.com/uk/individual/en/products/251824/
LU0908500753,MEUD,XLON,Lyxor Core STOXX Europe 600 (DR) - UCITS ETF Acc,EUR,Equities,https://www.amundietf.lu/en/individual/products/equity/lyxor-core-stoxx-europe-600-dr-ucits-etf-acc/lu0908500753
IE00B4X9L533,HMWO,XLON,HSBC MSCI World UCITS ETF USD,USD,Equities,https://www.londonstockexchange.com/stock/HMWD/hsbc/company-page
IE00B0M62Q58,IWRD,XLON,iShares MSCI World UCITS ETF USD (Dist),USD,Equities,https://www.ishares.com/uk/individual/en/products/251881/?referrer=tickerSearch
IE00B3VWN393,CBU7,XLON,iShares $ Treasury Bond 3-7yr UCITS ETF USD A,USD,Bonds,https://www.ishares.com/uk/individual/en/products/253744/?referrer=tickerSearch
LU0380865021,XESC,XLON,Xtrackers Euro Stoxx 50 UCITS ETF 1C,EUR,Equities,https://etf.dws.com/en-gb/LU0380865021-euro-stoxx-50-ucits-etf-1c/
LU0274211217,XESX,XLON,Xtrackers Euro Stoxx 50 UCITS ETF 1D,EUR,Equities,https://etf.dws.com/en-gb/LU0274211217-euro-stoxx-50-ucits-etf-1d/
IE00B66F4759,IHYG,XLON,iShares € High Yield Corp Bond UCITS ETF EUR D,EUR,Bonds,https://www.ishares.com/uk/individual/en/products/251843/
IE00B810Q511,VUKE,XLON,Vanguard FTSE 100 UCITS ETF GBP Dis,GBP,Equities,https://www.vanguardinvestor.co.uk/investments/vanguard-ftse-100-ucits-etf-gbp-distributing/overview?query=IE00B810Q511
IE00B4K48X80,SMEA,XLON,iShares Core MSCI Europe UCITS ETF EUR (Acc),EUR,Equities,https://www.ishares.com/uk/individual/en/products/251861/?referrer=tickerSearch
IE00B6YX5C33,SPY5,XLON,SPDR S&P 500 UCITS ETF Dist,USD,Equities,https://www.ssga.com/uk/en_gb/intermediary/etfs/funds/spdr-sp-500-ucits-etf-dist-spy5-gy
IE00B5M4WH52,IEML,XLON,iShares JPM EM Local Govt Bond UCITS ETF USD D,USD,Bonds,https://www.ishares.com/uk/individual/en/products/251724/?referrer=tickerSearch
IE00B3ZW0K18,IUSE,XLON,iShares S&P 500 EUR Hedged UCITS ETF (Acc),EUR,Equities,https://www.ishares.com/uk/individual/en/products/251903/?referrer=tickerSearch
IE00B4PY7Y77,IHYU,XLON,iShares $ High Yield Corp Bond UCITS ETF USD D,USD,Bonds,https://www.ishares.com/uk/individual/en/products/251833/?referrer=tickerSearch
IE00B4L60045,IE15,XLON,iShares € Corp Bond 1-5 yr UCITS ETF EUR (Dist),EUR,Bonds,https://www.ishares.com/uk/individual/en/products/251728/
IE00B5KQNG97,HSPX,XLON,HSBC S&P 500 UCITS ETF USD,USD,Equities,https://www.londonstockexchange.com/stock/HSPX/hsbc/company-page
IE00B3WJKG14,IUIT,XLON,iShares S&P 500 Info Technolg Sctr UCITS ETF USD A,USD,Equities,https://www.ishares.com/uk/individual/en/products/280510/?referrer=tickerSearch
IE00B4WXJK79,IGLS,XLON,iShares UK Gilts 0-5yr UCITS ETF GBP (Dist),GBP,Bonds,https://www.ishares.com/uk/individual/en/products/251804/?referrer=tickerSearch
IE00BYZK4552,RBOT,XLON,iShares Automation & Robotics UCITS ETF USD A,USD,Equities,https://www.ishares.com/uk/individual/en/products/284219/?referrer=tickerSearch
IE00BF4RFH31,WSML,XLON,iShares MSCI World Small Cap UCITS ETF USD (Acc),USD,Equities,https://www.ishares.com/uk/individual/en/products/296576/?referrer=tickerSearch
IE00B1FZSB30,IGLT,XLON,iShares Core UK Gilts UCITS ETF GBP (Dist),GBP,Bonds,https://www.ishares.com/uk/individual/en/products/251806/?referrer=tickerSearch
IE00B00FV011,SLXX,XLON,iShares Core £ Corp Bond UCITS ETF GBP (Dist),GBP,Bonds,https://www.ishares.com/uk/individual/en/products/251839/?referrer=tickerSearch
IE00B5L65R35,IS15,XLON,iShares Corp Bond 0-5yr UCITS ETF GBP (Dist),GBP,Bonds,https://www.ishares.com/uk/individual/en/products/251840/?referrer=tickerSearch
IE00BJ38QD84,ZPRR,XLON,SPDR Russell 2000 US Small Cap UCITS ETF Acc,USD,Equities,https://www.ssga.com/uk/en_gb/intermediary/etfs/funds/spdr-russell-2000-us-small-cap-ucits-etf-acc-zprr-gy
IE00BCRY6441,ERNS,XLON,iShares £ Ultrashort Bond UCITS ETF GBP (Dist),GBP,Bonds,https://www.ishares.com/uk/individual/en/products/258120/?referrer=tickerSearch
LU1407892592,GILS,XLON,Lyxor Core UK Government Bond (DR) UCITS ETF D,GBP,Bonds,https://www.amundietf.lu/en/individual/products/fixed-income/lyxor-core-uk-government-bond-dr-ucits-etf-dist/lu1407892592